 X,Y,Z,U,V,W,R
   697.22019 ,   696.62332 ,   -79.18851 ,    -0.00089 ,    -0.00003 ,    -0.00008 ,     4.31258
   688.11909 ,   656.35053 ,  -163.51152 ,     0.00068 ,     0.00072 ,    -0.00015 ,     5.21234
   602.32580 ,   775.72764 ,    90.89578 ,     0.00007 ,     0.00089 ,     0.00080 ,     5.55237
   811.47949 ,   713.19017 ,  -114.94729 ,    -0.00033 ,    -0.00001 ,     0.00023 ,     4.38299
   736.90321 ,   674.23210 ,    -3.64260 ,    -0.00007 ,     0.00020 ,    -0.00034 ,     4.37072
   689.25296 ,   713.73104 ,    -1.53853 ,     0.00089 ,     0.00039 ,    -0.00017 ,     5.36725
   699.95479 ,   699.97219 ,   -61.17872 ,    -0.00017 ,    -0.00021 ,     0.00048 ,     4.52793
   682.37914 ,   650.64186 ,     1.55888 ,    -0.00036 ,     0.00034 ,     0.00078 ,     5.76747
   784.71343 ,   856.66195 ,   -48.70711 ,    -0.00025 ,     0.00042 ,     0.00009 ,     5.11621
   768.08231 ,   767.39832 ,  -125.36470 ,     0.00030 ,    -0.00087 ,    -0.00043 ,     4.58845
   636.10239 ,   711.37365 ,   -50.36885 ,    -0.00005 ,    -0.00057 ,     0.00069 ,     4.52497
   708.18651 ,   762.03062 ,    79.55511 ,    -0.00005 ,     0.00028 ,    -0.00013 ,     5.85656
   683.16080 ,   616.78390 ,   -76.80667 ,    -0.00047 ,    -0.00098 ,     0.00094 ,     5.27076
   640.80144 ,   676.15049 ,   -97.92934 ,    -0.00022 ,    -0.00090 ,     0.00059 ,     4.57840
   634.54165 ,   719.05296 ,   -38.42855 ,     0.00057 ,     0.00027 ,    -0.00001 ,     4.73049
   608.08446 ,   703.99690 ,   -70.15448 ,     0.00062 ,    -0.00080 ,     0.00068 ,     5.72572
   632.42602 ,   684.84038 ,   -55.70012 ,    -0.00065 ,    -0.00066 ,    -0.00006 ,     5.68457
